model,condition,PR-AUC,ROC-AUC,F1,Recall,Precision,Threshold,CIES_mean,CIES_std,Baseline_mean,Wilcoxon_p,Model,Condition
CatBoost,Class-weighting,0.6990691820694566,0.9767483175037038,0.7894736842105263,0.7653061224489796,0.8152173913043478,0.9488712157567547,0.9791742281456325,0.0198648593905698,0.9659106343866456,5.4806577777207495e-15,CatBoost,Class-weighting
CatBoost,SMOTE-ENN,0.8282107156313888,0.9825927310991927,0.8315789473684211,0.8061224489795918,0.8586956521739131,0.9829251573486985,0.9773173146317727,0.020384877633451464,0.9590421341954111,5.269204481546394e-18,CatBoost,SMOTE-ENN
CatBoost,SMOTE,0.8372496481381192,0.9787046501211626,0.8324873096446701,0.8367346938775511,0.8282828282828283,0.9341296350864033,0.9763003502738443,0.01974820663445517,0.9554487450083883,1.4146791640488984e-17,CatBoost,SMOTE
LR,Class-weighting,0.7089186417669016,0.9741183403580904,0.7383177570093458,0.8061224489795918,0.6810344827586207,0.9953610568024204,0.9769439918072054,0.0030842581652867876,0.976900319980184,0.7180814247397251,LR,Class-weighting
LR,SMOTE-ENN,0.7233634174640282,0.9744757990421831,0.7649769585253456,0.8469387755102041,0.6974789915966386,0.9967290160368086,0.9929870462467056,0.00412321329996563,0.989667537403566,7.333806979251821e-18,LR,SMOTE-ENN
LR,SMOTE,0.7222061819027399,0.974291506839089,0.7592592592592593,0.8367346938775511,0.6949152542372882,0.9967880179231202,0.9923413358784995,0.00422487025303744,0.9887675951897319,1.219062650217942e-17,LR,SMOTE
XGB,Class-weighting,0.8773473472347741,0.9826666633169868,0.8663101604278075,0.826530612244898,0.9101123595505618,0.5656486749649048,0.975910635571056,0.01449813710382013,0.9525995654112555,4.531861061109545e-18,XGB,Class-weighting
XGB,SMOTE-ENN,0.8587981595070998,0.9812202297210386,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.9998762607574463,0.9579847382446139,0.05558692833836814,0.93846788228464,6.818288606892979e-15,XGB,SMOTE-ENN
XGB,SMOTE,0.8665077218114031,0.9786716318491382,0.8666666666666667,0.7959183673469388,0.9512195121951219,0.9974516034126282,0.9544111144897107,0.06997942706234905,0.9376673235486976,3.4412810293497968e-15,XGB,SMOTE
